text,label
Bank 1 of Testing\nStatement Date 2023-09\nHolder Jamie Williams\nAcct No. XXXX-XXXX-XXXX-4690\nOpening Balance $1739.31\n17/05 Amazon +$973.56\n27/06 ATM Withdrawal +$362.89\n02/05 Amazon +$161.13\n10/08 Online Transfer +$874.52\nClosing Bal $1608.43\nEnd of Statement,bank_statement
First National Bank\nDate of Statement 2023-08\nName Taylor Johnson\nAccount XXXX-XXXX-XXXX-8489\nOpening Bal $1606.56\n03/03 Amazon +$515.86\n13/09 Check Deposit -$196.78\n08/05 Loan Repayment +$251.25\n25/01 Utility Payment +$858.65\n07/05 Online Transfer -$474.51\n17/08 Online Transfer -$698.14\nEnd Balance $1065.39,bank_statement
Bank of Horizon\nStatement Date 2023-09\nHolder Alex Wilson\nAccount Number XXXX-XXXX-XXXX-8630\nStart Balance $1877.58\n22/02 Direct Deposit +$69.3\n08/01 Bank Fee -$237.05\n07/02 Direct Deposit +$551.4\n26/05 Check Deposit -$237.86\nClosing Balance $1794.01,bank_statement
Bank 1 of Testing\nStatement Period: 2023-09\nAccount Holder: Taylor Wilson\nAccount: XXXX-XXXX-XXXX-7143\nOpening Bal: $1148.2\n18/02 Wire Transfer -$559.31\n06/03 POS Purchase -$207.05\n02/06 Amazon +$596.12\n21/05 Utility Payment +$94.02\n28/01 Loan Repayment -$99.41\n10/01 ATM Withdrawal +$502.39\nClosing Balance: $1691.38\nEND,bank_statement
Union Savings\nStatement Date: 2023-08\nAccount Holder: Alex Taylor\nAccount Number: XXXX-XXXX-XXXX-8949\nStart Balance: $1445.72\n15/02 Loan Repayment +$238.58\n01/09 Grocery Store -$840.87\n03/01 Bank Fee -$865.4\n15/04 Online Transfer -$805.88\nEnd Balance: $1428.35,bank_statement
Bank of Horizon\nDate of Statement: 2023-01\nCustomer Name: Taylor Moore\nAccount Number: XXXX-XXXX-XXXX-6526\nOpening Bal: $1111.8\n05/03 ATM Withdrawal +$558.93\n10/02 Amazon -$660.26\n10/06 Amazon -$369.85\n18/02 ATM Withdrawal -$764.12\n11/01 Grocery Store +$657.38\n04/03 Amazon -$548.74\nClosing Bal: $1746.6\nSupport: 1-610-339-1167\n--- End ---,bank_statement
Bank 1 of Testing\nStatement Period: 2023-01\nAccount Holder: Chris Moore\nAccount Number: XXXX-XXXX-XXXX-1309\nStart Balance: $1937.35\n14/02 Grocery Store -$847.73\n19/02 ATM Withdrawal +$611.05\n11/03 Direct Deposit +$514.4\nClosing Bal: $1522.19,bank_statement
Bank 1 of Testing\nDate of Statement: 2023-06\nCustomer Name: Taylor Jones\nAccount: XXXX-XXXX-XXXX-9648\nStart Bal: $1081.92\n26/01 POS Purchase -$666.54\n03/03 Bank Fee +$804.48\n18/02 Bank Fee +$382.12\n01/06 Online Transfer -$57.72\n09/09 POS Purchase +$780.35\nClosing Bal: $2127.34,bank_statement
Bank 1 of Testing\nDate of Statement: 2023-09\nAccount Holder: Casey Wilson\nAccount: XXXX-XXXX-XXXX-3954\nOpening Balance: $962.06\n05/07 Utility Payment +$129.53\n07/05 Loan Repayment -$452.38\n08/06 ATM Withdrawal -$436.95\n03/02 POS Purchase -$765.47\nClosing Balance: $2141.48,bank_statement
Bank 1 of Testing\nStatement Period: 2023-04\nName: Alex Moore\nAcct No.: XXXX-XXXX-XXXX-6072\nStart Balance: $1114.83\n24/06 Check Deposit -$119.47\n02/02 Wire Transfer +$225.8\n08/07 Amazon +$754.37\n11/07 Amazon +$498.33\nClosing Bal: $2203.75\nEND,bank_statement
Global Bank\nStatement Period: 2023-05\nAccount Holder: Robin Williams\nAccount Number: XXXX-XXXX-XXXX-1139\nStart Balance: $667.7\n05/01 Grocery Store -$370.34\n28/05 ATM Withdrawal -$954.2\n03/02 Wire Transfer +$963.48\nClosing Balance: $1746.6\nSupport: 1-536-838-4738\nEnd of Statement,bank_statement
Global Bank\nStatement Period: 2023-01\nHolder: Jamie Taylor\nAcct No.: XXXX-XXXX-XXXX-8687\nStart Balance: $1197.18\n09/01 Bank Fee +$710.21\n06/01 Check Deposit +$996.56\n27/03 ATM Withdrawal -$596.39\nClosing Bal: $1421.43\nSupport: 1-560-279-4802\nEnd of Statement,bank_statement
Metro Credit Union\nStatement Period: 2023-01\nHolder: Taylor Wilson\nAcct No.: XXXX-XXXX-XXXX-3208\nOpening Bal: $1798.09\n26/07 Wire Transfer -$275.53\n03/06 Utility Payment +$824.85\n21/09 Online Transfer -$912.18\n08/05 Online Transfer -$413.23\n28/03 POS Purchase -$220.23\n05/06 Wire Transfer -$718.75\nEnd Balance: $2872.13\nEnd of Statement,bank_statement
Global Bank\nStatement Period: 2023-09\nName: Morgan Smith\nAccount Number: XXXX-XXXX-XXXX-9451\nOpening Balance: $1818.02\n27/02 Payroll -$281.54\n02/06 Check Deposit -$548.79\n05/03 Direct Deposit -$85.53\nClosing Balance: $2586.39,bank_statement
First National Bank\nStatement Date: 2023-07\nHolder: Jamie Brown\nAccount: XXXX-XXXX-XXXX-7404\nOpening Balance: $1127.69\n21/03 Bank Fee -$885.0\n08/04 POS Purchase -$939.99\n16/07 Grocery Store -$795.62\n25/08 Bank Fee -$965.55\nClosing Bal: $2971.36\nSupport: 1-871-365-1968\nEND,bank_statement
Union Savings\nDate of Statement 2023-05\nCustomer Name Alex Taylor\nAccount Number XXXX-XXXX-XXXX-1432\nOpening Balance $1381.92\n07/07 Payroll -$364.33\n10/07 Loan Repayment +$652.85\n04/04 Bank Fee -$877.16\nClosing Balance $2207.83,bank_statement
Global Bank\nDate of Statement 2023-07\nCustomer Name Alex Brown\nAcct No. XXXX-XXXX-XXXX-2946\nStart Balance $1901.58\n12/09 Bank Fee +$70.32\n09/01 Payroll -$398.43\n15/09 Bank Fee +$812.05\n03/04 Check Deposit +$644.9\n08/07 Utility Payment +$834.1\nClosing Balance $2937.33,bank_statement
Metro Credit Union\nStatement Date 2023-03\nName Robin Wilson\nAccount XXXX-XXXX-XXXX-7306\nOpening Balance $810.0\n23/09 Amazon -$380.93\n12/07 Grocery Store +$321.18\n27/05 Amazon +$87.14\n18/02 Check Deposit -$139.74\n20/05 Wire Transfer +$669.88\n25/05 Direct Deposit -$430.47\nClosing Balance $2452.09\nSupport 1-220-455-5235\nEND,bank_statement
First National Bank\nDate of Statement: 2023-03\nCustomer Name: Robin Brown\nAccount Number: XXXX-XXXX-XXXX-4264\nOpening Bal: $1177.62\n12/03 Bank Fee -$379.59\n24/03 Direct Deposit +$294.41\n16/03 Amazon +$691.03\nClosing Bal: $2516.35\nEnd of Statement,bank_statement
Global Bank\nStatement Period 2023-04\nName Jamie Johnson\nAccount Number XXXX-XXXX-XXXX-5640\nOpening Bal $1623.83\n06/06 Online Transfer -$783.45\n22/01 Online Transfer -$391.03\n02/05 Payroll -$252.33\n02/07 Amazon +$352.08\n08/02 POS Purchase -$272.0\nClosing Balance $1270.19\nEND,bank_statement
Citadel Trust\nDate of Statement: 2023-02\nAccount Holder: Jordan Williams\nAcct No.: XXXX-XXXX-XXXX-3195\nStart Balance: $1945.32\n20/04 Loan Repayment +$919.24\n20/02 Payroll -$377.05\n10/09 Amazon -$245.01\n19/01 Direct Deposit -$680.18\n05/08 Online Transfer -$587.47\nEnd Balance: $1254.94\nSupport: 1-883-271-2988,bank_statement
First National Bank\nStatement Period 2023-08\nCustomer Name Morgan Johnson\nAccount XXXX-XXXX-XXXX-5597\nOpening Bal $1119.69\n05/08 Utility Payment +$575.68\n18/01 Bank Fee -$190.53\n06/03 POS Purchase -$88.08\nEnd Balance $2110.37\n*** End ***,bank_statement
Metro Credit Union\nStatement Date: 2023-01\nName: Taylor Wilson\nAccount Number: XXXX-XXXX-XXXX-6016\nOpening Balance: $1141.71\n07/06 Payroll -$519.89\n27/02 POS Purchase +$660.27\n19/09 ATM Withdrawal +$456.4\n03/07 Utility Payment +$487.33\n10/04 Direct Deposit +$172.49\n09/07 Grocery Store +$407.43\nEnd Balance: $2700.41\nEnd of Statement,bank_statement
Bank of Horizon\nDate of Statement: 2023-08\nHolder: Casey Brown\nAccount Number: XXXX-XXXX-XXXX-7308\nOpening Balance: $793.11\n19/01 ATM Withdrawal +$473.67\n05/08 Loan Repayment +$253.77\n11/04 Bank Fee +$287.17\n05/08 Loan Repayment -$489.65\n07/08 Bank Fee -$160.31\n18/02 ATM Withdrawal -$494.03\nClosing Bal: $1996.01\nSupport: 1-494-252-3116,bank_statement
Bank of Horizon\nDate of Statement: 2023-04\nHolder: Chris Williams\nAccount: XXXX-XXXX-XXXX-4575\nStart Balance: $1658.0\n24/09 Check Deposit +$240.07\n05/04 Grocery Store +$585.3\n23/01 Wire Transfer -$294.26\n03/09 Direct Deposit +$801.3\n06/01 Amazon +$708.79\nClosing Balance: $1878.66\nEND,bank_statement
Bank 1 of Testing\nDate of Statement: 2023-08\nName: Chris Smith\nAcct No.: XXXX-XXXX-XXXX-1916\nOpening Balance: $1348.89\n24/08 POS Purchase -$106.55\n15/08 Wire Transfer +$322.85\n09/06 Loan Repayment +$443.61\n05/05 Bank Fee -$304.74\nClosing Balance: $2791.66\n--- End ---,bank_statement
Global Bank\nStatement Period: 2023-01\nAccount Holder: Casey Smith\nAccount Number: XXXX-XXXX-XXXX-9007\nStart Balance: $1416.34\n09/01 Payroll -$651.92\n15/02 ATM Withdrawal -$86.87\n18/02 ATM Withdrawal +$392.29\n13/04 Amazon +$557.53\nClosing Bal: $1715.62\nEnd of Statement,bank_statement
Union Savings\nStatement Period 2023-05\nHolder Alex Smith\nAccount Number XXXX-XXXX-XXXX-1448\nOpening Bal $1294.34\n26/06 Direct Deposit +$838.5\n22/07 Loan Repayment -$730.4\n03/06 Bank Fee -$877.08\n24/05 Amazon +$485.16\nEnd Balance $2566.47,bank_statement
First National Bank\nStatement Period: 2023-07\nAccount Holder: Pat Williams\nAccount: XXXX-XXXX-XXXX-7676\nOpening Bal: $1741.88\n15/02 Loan Repayment +$113.55\n05/09 Utility Payment +$123.84\n20/01 Utility Payment +$219.74\n10/05 Check Deposit -$209.17\n16/02 ATM Withdrawal -$640.18\nClosing Balance: $1347.77\nEnd of Statement,bank_statement
Global Bank\nDate of Statement 2023-07\nName Alex Moore\nAcct No. XXXX-XXXX-XXXX-4172\nOpening Bal $1234.97\n02/02 POS Purchase +$830.7\n26/01 Wire Transfer +$495.26\n19/01 Bank Fee +$871.61\n16/06 Online Transfer -$53.61\nClosing Balance $1926.42,bank_statement
Global Bank\nStatement Date: 2023-06\nAccount Holder: Pat Miller\nAcct No.: XXXX-XXXX-XXXX-1844\nOpening Bal: $975.64\n05/07 Payroll +$800.76\n06/06 Utility Payment -$641.22\n23/03 Direct Deposit -$877.74\n24/02 Payroll -$209.31\n11/02 Online Transfer -$919.88\n24/05 Grocery Store +$402.48\nEnd Balance: $1429.79\nSupport: 1-790-304-2851\nEnd of Statement,bank_statement
Metro Credit Union\nDate of Statement: 2023-03\nName: Alex Wilson\nAccount: XXXX-XXXX-XXXX-2866\nOpening Bal: $1323.07\n07/03 ATM Withdrawal +$325.19\n25/01 Grocery Store -$987.46\n07/04 Utility Payment -$346.82\n09/05 Check Deposit -$946.69\n20/05 Check Deposit -$407.66\n08/07 POS Purchase -$651.43\nEnd Bal: $2855.22,bank_statement
Citadel Trust\nStatement Period 2023-07\nCustomer Name Robin Johnson\nAccount Number XXXX-XXXX-XXXX-8101\nStart Balance $1647.3\n02/01 Grocery Store +$655.22\n15/03 Direct Deposit +$653.91\n12/08 Grocery Store +$82.28\nClosing Balance $1448.38\nEnd of Statement,bank_statement
Global Bank\nStatement Date: 2023-06\nCustomer Name: Drew Williams\nAccount: XXXX-XXXX-XXXX-2054\nOpening Bal: $1004.99\n28/02 Check Deposit -$489.95\n24/04 Utility Payment -$515.33\n08/01 Grocery Store +$778.55\nEnd Balance: $1856.62\nSupport: 1-303-727-9856\nEND,bank_statement
Bank of Horizon\nStatement Date: 2023-01\nCustomer Name: Drew Miller\nAcct No.: XXXX-XXXX-XXXX-5327\nStart Bal: $1704.57\n24/08 Check Deposit -$88.14\n26/08 Check Deposit +$533.5\n08/08 Direct Deposit +$385.09\n04/09 POS Purchase +$578.4\n24/02 Grocery Store -$690.77\nClosing Bal: $2808.03,bank_statement
Citadel Trust\nDate of Statement 2023-04\nHolder Pat Williams\nAcct No. XXXX-XXXX-XXXX-9491\nOpening Bal $1198.21\n05/09 POS Purchase -$453.29\n14/04 Utility Payment -$652.36\n02/06 POS Purchase +$574.65\n21/09 ATM Withdrawal -$501.5\n09/01 Loan Repayment -$683.04\n24/08 Wire Transfer -$437.04\nClosing Balance $2076.62\nSupport 1-336-793-1322,bank_statement
Union Savings\nStatement Period 2023-05\nAccount Holder Jordan Moore\nAccount Number XXXX-XXXX-XXXX-6411\nStart Balance $1649.64\n05/08 Utility Payment -$803.02\n13/06 Online Transfer -$559.05\n02/01 ATM Withdrawal +$227.61\n15/04 Amazon +$811.27\n01/03 Direct Deposit +$918.78\n23/03 Payroll -$779.78\nClosing Bal $1138.17\nSupport 1-554-898-4897\nEnd of Statement,bank_statement
Union Savings\nDate of Statement: 2023-01\nName: Drew Wilson\nAcct No.: XXXX-XXXX-XXXX-1577\nStart Balance: $812.1\n17/05 Payroll +$228.82\n05/04 Check Deposit +$514.9\n03/04 Amazon +$68.01\n04/06 Check Deposit -$551.39\n21/02 Online Transfer +$666.15\nClosing Balance: $2250.93\n--- End ---,bank_statement
Metro Credit Union\nStatement Period: 2023-06\nHolder: Chris Brown\nAcct No.: XXXX-XXXX-XXXX-1815\nStart Balance: $1199.37\n22/02 Loan Repayment +$505.82\n01/05 Direct Deposit -$599.64\n06/09 Direct Deposit +$831.13\n09/03 Direct Deposit -$38.54\nEnd Balance: $1289.73\n--- End ---,bank_statement
Metro Credit Union\nStatement Date: 2023-05\nAccount Holder: Alex Taylor\nAccount: XXXX-XXXX-XXXX-1701\nOpening Bal: $537.72\n15/04 Bank Fee +$328.68\n12/02 Loan Repayment -$438.74\n12/06 Amazon +$558.09\nClosing Balance: $1590.58\n*** End ***,bank_statement
Metro Credit Union\nStatement Date: 2023-04\nHolder: Alex Smith\nAccount Number: XXXX-XXXX-XXXX-7455\nStart Bal: $1140.92\n03/07 Bank Fee -$328.17\n28/04 Grocery Store +$467.18\n19/04 Amazon -$947.32\n18/03 Loan Repayment -$660.44\n16/08 Direct Deposit -$881.44\nClosing Bal: $2954.5,bank_statement
First National Bank\nStatement Date 2023-01\nAccount Holder Jamie Davis\nAccount XXXX-XXXX-XXXX-6283\nOpening Balance $1523.7\n15/03 Grocery Store -$95.56\n01/05 Wire Transfer +$174.45\n09/07 Check Deposit -$19.35\n09/04 ATM Withdrawal -$926.79\n10/01 Direct Deposit +$587.31\n18/02 Amazon -$503.64\nClosing Bal $1600.79,bank_statement
Metro Credit Union\nStatement Period: 2023-02\nCustomer Name: Jordan Davis\nAcct No.: XXXX-XXXX-XXXX-5323\nStart Balance: $1829.63\n06/08 Amazon +$934.88\n26/08 Direct Deposit +$83.24\n07/09 Utility Payment +$536.05\n03/07 Utility Payment -$713.61\nClosing Bal: $2081.1\nSupport: 1-610-815-3064,bank_statement
Bank 1 of Testing\nStatement Date: 2023-07\nName: Morgan Johnson\nAcct No.: XXXX-XXXX-XXXX-4607\nOpening Bal: $1733.96\n05/01 Amazon +$699.22\n10/08 Utility Payment -$491.26\n13/05 Utility Payment +$433.75\nClosing Balance: $2506.19\nEnd of Statement,bank_statement
Citadel Trust\nStatement Date: 2023-04\nAccount Holder: Chris Taylor\nAcct No.: XXXX-XXXX-XXXX-1874\nOpening Bal: $1032.77\n15/02 Check Deposit +$442.96\n12/06 Payroll -$617.69\n09/09 Amazon +$116.33\nClosing Balance: $1101.49\nEnd of Statement,bank_statement
Global Bank\nStatement Period: 2023-05\nCustomer Name: Jamie Jones\nAcct No.: XXXX-XXXX-XXXX-4012\nOpening Bal: $802.02\n06/09 ATM Withdrawal +$193.22\n01/09 Wire Transfer -$543.39\n21/09 Utility Payment -$659.99\n19/06 Online Transfer -$646.83\nEnd Balance: $2903.72\nEND,bank_statement
Metro Credit Union\nStatement Period: 2023-09\nAccount Holder: Morgan Miller\nAccount: XXXX-XXXX-XXXX-5000\nOpening Bal: $756.09\n27/08 Grocery Store -$470.23\n04/02 Payroll +$388.1\n03/08 Amazon -$963.08\n25/07 Bank Fee +$166.94\n21/07 Online Transfer +$332.07\n01/05 ATM Withdrawal +$327.61\nClosing Balance: $1239.48\nSupport: 1-796-789-7307\n--- End ---,bank_statement
Bank 1 of Testing\nDate of Statement 2023-06\nHolder Robin Williams\nAccount XXXX-XXXX-XXXX-8826\nStart Balance $1513.37\n07/02 ATM Withdrawal -$164.47\n17/03 Payroll -$692.84\n23/05 Utility Payment +$33.51\n21/02 Payroll +$196.76\nEnd Balance $1684.35\nEnd of Statement,bank_statement
First National Bank\nStatement Date 2023-04\nName Chris Williams\nAcct No. XXXX-XXXX-XXXX-1906\nStart Balance $1203.88\n24/04 Wire Transfer +$678.2\n15/09 Online Transfer -$885.9\n03/09 Grocery Store +$489.85\n11/07 POS Purchase +$14.49\n27/01 Grocery Store -$736.15\n11/08 Loan Repayment +$523.06\nEnd Balance $2032.02\n*** End ***,bank_statement
First National Bank\nStatement Date: 2023-05\nHolder: Alex Jones\nAcct No.: XXXX-XXXX-XXXX-4370\nOpening Bal: $699.23\n02/03 Utility Payment +$455.93\n25/08 Grocery Store -$329.79\n22/06 Amazon +$286.32\n05/05 Wire Transfer -$790.89\nClosing Balance: $1681.05,bank_statement
First National Bank\nStatement Period: 2023-05\nCustomer Name: Jordan Wilson\nAcct No.: XXXX-XXXX-XXXX-7305\nOpening Balance: $1071.1\n05/03 Direct Deposit -$668.5\n08/05 Wire Transfer -$775.6\n27/03 Loan Repayment -$831.79\n27/01 Utility Payment -$516.96\n14/04 Online Transfer +$677.65\n08/02 Utility Payment -$505.56\nClosing Balance: $1072.24,bank_statement
Metro Credit Union\nDate of Statement 2023-08\nCustomer Name Chris Moore\nAccount XXXX-XXXX-XXXX-3811\nStart Balance $1149.33\n27/01 Amazon +$620.61\n05/09 ATM Withdrawal +$957.11\n15/04 Loan Repayment +$394.51\n15/01 Bank Fee +$546.03\n18/02 Payroll +$800.79\nEnd Balance $2876.35\n--- End ---,bank_statement
First National Bank\nStatement Period: 2023-04\nHolder: Robin Wilson\nAccount Number: XXXX-XXXX-XXXX-5439\nOpening Balance: $881.1\n27/01 Bank Fee -$339.66\n18/02 Wire Transfer -$734.84\n01/04 Grocery Store -$284.25\n10/06 Loan Repayment -$717.68\n15/07 Payroll +$847.46\nClosing Balance: $1495.31\nEnd of Statement,bank_statement
Citadel Trust\nStatement Date: 2023-09\nHolder: Alex Miller\nAccount Number: XXXX-XXXX-XXXX-6228\nOpening Bal: $517.25\n09/05 Amazon -$21.13\n01/09 Loan Repayment -$429.16\n21/07 Wire Transfer +$673.85\n10/08 Grocery Store -$898.93\nClosing Balance: $2552.9\n*** End ***,bank_statement
Bank of Horizon\nDate of Statement: 2023-08\nHolder: Morgan Brown\nAccount: XXXX-XXXX-XXXX-2627\nStart Balance: $1890.85\n26/05 Check Deposit -$784.88\n16/09 Amazon -$743.77\n18/04 Utility Payment +$540.4\nEnd Balance: $2634.3,bank_statement
Bank of Horizon\nStatement Period: 2023-04\nAccount Holder: Robin Wilson\nAccount: XXXX-XXXX-XXXX-1857\nOpening Balance: $797.54\n12/05 POS Purchase +$156.92\n03/07 Wire Transfer +$739.38\n11/08 Grocery Store -$106.72\nClosing Bal: $2318.69\n--- End ---,bank_statement
Global Bank\nStatement Date: 2023-08\nHolder: Alex Wilson\nAcct No.: XXXX-XXXX-XXXX-8360\nOpening Balance: $828.19\n09/07 ATM Withdrawal -$72.22\n09/01 Loan Repayment +$686.33\n17/04 Online Transfer -$891.1\nClosing Bal: $2505.01\nSupport: 1-930-393-9423\nEnd of Statement,bank_statement
First National Bank\nStatement Period 2023-02\nCustomer Name Drew Miller\nAcct No. XXXX-XXXX-XXXX-6228\nOpening Bal $1983.45\n18/09 Grocery Store -$317.33\n08/09 ATM Withdrawal +$931.54\n14/03 ATM Withdrawal +$70.31\n04/05 Amazon -$976.82\n18/03 Check Deposit -$796.58\nEnd Bal $1061.97,bank_statement
