text,label
Acme Corp\nBill To: Apollo Partners\nInv No: 4692\nissue date: 03/01/2023\nTerms: 05/11/2023\nPayment Terms: Net 30 days from issue date\nItem Description | Qty/Hrs | Rate | Amount\nUX Research | 9 | $200.99 | $1808.91\nPrint Setup – $970.90\nSub-Total: $2779.81\nTotal: $2779.81\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nPhone: +1 (800) 555-1212,invoice
Acme Corp\nBill To: Morgan Maxwell\nInvoce #: 8754\nDate of Issue: 21/05/2023\nDue Date: 28/11/2023\nPayment Terms: Net 30 days from issue date\nItem Description | Qty/Hrs | Rate | Amount\nSite Audit | 8 | $281.20 | $2249.60\nUX Research | 9 | $106.38 | $957.42\nConsulting | 7 | $138.93 | $972.51\nUX Research | 2 | $296.25 | $592.50\nSite Audit – $1099.44\nSub-Total $5871.47\ntax: $629.19\ntotal: $6500.66\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nSend questions to billing@example.com,invoice
Acme Corp\nBill To: Greenfield Inc\nInvoce #: 2934\nInvoice Date 07/08/2023\nPayment Due 02/10/2023\nLetterhead Design | 5 | $136.70 | $683.50\nUX Research – $1017.10\nSub total: $1700.60\nTotal Amnt: $1700.60\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nContact: support@example.com,invoice
Acme Corp\nBill To: Skyline Ventures\ninvoice no: 2534\nDate of Issue: 11/05/2023\nPayment Due 13/11/2023\nMarketing Strategy – $1381.50\nMarketing Strategy – $1680.72\nSub-Total: $3062.22\nDiscount: -$49.12\ntax $359.32\ntotal: $3372.42\nSend questions to billing@example.com,invoice
Studio Shodwe\nBill To: Morgan Maxwell\nInvoice No: 7554\nISSUE DATE: 11/01/2023\nPayment Terms: Net 30 days from issue date\nItem Description | Qty/Hrs | Rate | Amount\nMarketing Strategy | 1 | $160.05 | $160.05\nSite Audit | 10 | $77.14 | $771.40\nMarketing Strategy – $674.97\nMarketing Strategy | 6 | $143.38 | $860.28\nSub total: $2466.70\nDiscount: -$41.50\nTotal Amnt Amnt: $2425.20\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nSend questions to billing@example.com,invoice
Zeta Solutions\nBill To: Morgan Maxwell\nInvoce #: 3256\nDate of Issue: 26/07/2023\nTerms 13/10/2023\nPayment Terms: Net 30 days from issue date\nLogo Design – $2084.67\nLetterhead Design | 7 | $150.26 | $1051.82\nUX Research – $2315.43\nLetterhead Design | 5 | $259.83 | $1299.15\nWeb Development | 6 | $243.32 | $1459.92\nSub-Total: $8210.99\nDiscount: -$10.08\nsales tax: $571.13\nTOTAL: $8772.04\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nPhone: +1 (800) 555-1212,invoice
Acme Corp\nBill To: Morgan Maxwell\nINVOCE #: 9869\nInvoice Date: 18/04/2023\nPayment Due: 03/11/2023\nPayment Terms: Net 30 days from issue date\nItem Description | Qty/Hrs | Rate | Amount\nLetterhead Design | 5 | $129.78 | $648.90\nLogo Design | 9 | $101.13 | $910.17\nSite Audit | 3 | $129.29 | $387.87\nLetterhead Design – $728.82\nSite Audit | 3 | $136.83 | $410.49\nSubtotal: $3086.25\nPromo Disc -$41.04\ntotal: $3045.21\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nPhone: +1 (800) 555-1212,invoice
Acme Corp\nBill To: Morgan Maxwell\n\nInvoce #: 6976\nINVOICE DATE: 08/08/2023\nPayment Due: 25/10/2023\nPayment Terms: Net 30 days from issue date\nMarketing Strategy – $509.07\nPrint Setup | 6 | $266.74 | $1600.44\nSub-Total: $2109.51\nTAX: $181.65\nTotal: $2291.16\nThank you for your business!,invoice
Acme Corp\nBill To: Skyline Ventures\nInv No: 7958\n\nIssue Date 21/08/2023\npayment due 02/11/2023\nPayment Terms: Net 30 days from issue date\nConsulting | 6 | $86.22 | $517.32\nPrint Setup – $1382.76\nSub-Total: $1900.08\nPromo Disc: -$15.83\nTax $212.76\nTotal Amnt: $2097.01\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nContact: support@example.com,invoice
Acme Corp\nBill To: Greenfield Inc\ninvoce #: 3974\n\nIssue Date: 01/08/2023\nDue Dt: 21/10/2023\nItem Description | Qty/Hrs | Rate | Amount\nLetterhead Design | 2 | $229.33 | $458.66\nSite Audit – $129.06\nProposal Layout – $1787.80\nSUB TOTAL: $2375.52\nPromo Disc: -$37.59\nSales Tax $134.44\nTotal Amnt: $2472.37,invoice
Acme Corp\nBill To: Apollo Partners\nINV NO: 8970\nInvoice Date: 10/02/2023\nDue Date: 06/11/2023\nItem Description | Qty/Hrs | Rate | Amount\nUX Research – $205.88\nProposal Layout – $300.34\nWeb Development – $105.48\nConsulting | 8 | $159.28 | $1274.24\nUX Research | 4 | $166.48 | $665.92\nSUB TOTAL: $2551.86\nTax: $364.46\nTotal Amnt: $2916.32\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890,invoice
Zeta Solutions\nBill To: Apollo Partners\nInvoice No: 7025\nInvoce Date: 22/09/2023\nTerms: 16/10/2023\nPayment Terms: Net 30 days from issue date\nMarketing Strategy | 7 | $226.59 | $1586.13\nLogo Design | 4 | $117.67 | $470.68\nSub-Total: $2056.81\ntax $304.01\nT O T A L: $2360.82\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890,invoice
Zeta Solutions\nBill To: Morgan Maxwell\nInvoce #: 9727\nIssue Date 28/01/2023\nDUE DATE 25/10/2023\nPayment Terms: Net 30 days from issue date\nItem Description | Qty/Hrs | Rate | Amount\nBrochure Design | 2 | $250.26 | $500.52\nPrint Setup – $277.64\nMarketing Strategy | 6 | $52.34 | $314.04\nSubtotal: $1092.20\nDiscount: -$38.71\nSales Tax: $139.06\nTOTAL: $1192.55\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nSend questions to billing@example.com,invoice
Acme Corp\nBill To: Greenfield Inc\nINVOCE #: 4845\nISSUE DATE: 17/02/2023\nDUE DT 16/11/2023\nLetterhead Design | 7 | $161.28 | $1128.96\nProposal Layout – $1646.08\nBrochure Design | 8 | $118.42 | $947.36\nLogo Design – $111.72\nSub-Total $3834.12\npromo disc: -$23.23\nTotal Amnt: $3810.89\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nThank you for your business!,invoice
Nova Creatives\nBill To: Brightworks Ltd\nInv No: 4407\nInvoice Date: 12/03/2023\nPayment Due: 20/11/2023\nPayment Terms: Net 30 days from issue date\nWeb Development | 3 | $185.67 | $557.01\nBrochure Design – $2229.52\nPrint Setup | 2 | $105.40 | $210.80\nSub-Total Amnt: $2997.33\nSales Tax: $236.59\nTOTAL $3233.92\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nContact: support@example.com,invoice
Studio Shodwe\nBill To: Brightworks Ltd\nInv No: 2196\nDue Dt 19/10/2023\nItem Description | Qty/Hrs | Rate | Amount\nUX Research – $806.65\nProposal Layout – $333.48\nMarketing Strategy | 8 | $191.07 | $1528.56\nBrochure Design | 5 | $298.31 | $1491.55\nPrint Setup – $886.20\nSub total: $5046.44\nPromo Disc: -$42.88\nVAT: $398.29\nTotal: $5401.85\nSend Payment To:\nBank Name: Example Bank\nAccount No: 123-456-7890\nContact: support@example.com,invoice
